utterance_id,timestamp,channel,device_type,region,language,utterance_text,asr_confidence,duration_seconds,intent,split
utt_ng_a37032cd,2026-02-25T09:17:40,whatsapp_voice_note,ios,Ibadan,en,I need to change my password,0.849,4,reset_password_login_help,train
utt_ng_3f39fb6b,2026-02-15T11:54:40,whatsapp_voice_note,feature_phone,Delta,mixed,Mo have issue,0.666,9,complaint_or_support_ticket,train
utt_ng_226fe2ec,2026-02-28T05:54:40,ivr,ios,Oyo,mixed,Mo need to talk to human,0.798,5,speak_to_agent,train
utt_ng_f77395df,2026-02-20T20:24:40,ivr,ios,Abuja,yo,Bawo ni mo se le bẹrẹ aplikasiyo?,0.855,7,start_new_application,train
utt_ng_27de49fa,2026-02-24T18:27:40,ivr,ios,Ibadan,yo,Stat ti application mi ni kini?,0.89,9,check_application_status,train
utt_ng_dfeb530c,2026-03-13T07:55:40,ivr,web,Kano,en,Book appointment for me,0.919,11,appointment_booking,train
utt_ng_14ca088b,2026-02-13T11:21:40,ivr,ios,Kaduna,mixed,Mo fe report problem,0.703,6,complaint_or_support_ticket,train
utt_ng_fceb2f2b,2026-03-15T00:13:40,voice_call,ios,Oyo,yo,Bawo ni mo se le wo ipo ti aplikasiyo mi?,0.653,11,check_application_status,train
utt_ng_550f7ab6,2026-03-03T02:54:40,mobile_app_voice,web,Delta,mixed,Mo fe change aapoyntmẹnt mi,0.879,12,cancel_or_reschedule_appointment,train
utt_ng_9d4b7c5b,2026-02-28T04:12:40,ivr,web,Port Harcourt,en,I want to know the fee,0.738,3,fees_information,train
utt_ng_4b6ffe4d,2026-02-24T02:42:40,voice_call,feature_phone,Kaduna,mixed,Mo fe cancel appointment mi,0.899,10,cancel_or_reschedule_appointment,train
utt_ng_42abce5a,2026-03-08T04:02:40,ivr,ios,Kaduna,en,I cannot access my account,0.938,6,reset_password_login_help,train
utt_ng_eb16e369,2026-02-19T17:35:40,ivr,ios,Oyo,en,Tell me the cost,0.932,5,fees_information,train
utt_ng_b7e34bdd,2026-02-16T13:13:40,mobile_app_voice,feature_phone,Rivers,yo,Kini awọn nkan ti mo gbọdọ have?,0.809,4,requirements_information,train
utt_ng_83f0a1a1,2026-03-15T02:11:40,whatsapp_voice_note,android,Rivers,mixed,Mo need to talk to human,0.849,3,speak_to_agent,train
utt_ng_f0eb8a9d,2026-03-03T05:41:40,voice_call,feature_phone,Rivers,mixed,Mo fe make complaint,0.765,12,complaint_or_support_ticket,train
utt_ng_3329130e,2026-02-21T17:29:40,ivr,feature_phone,Oyo,yo,Mo fe apply fun passport,0.696,7,start_new_application,train
utt_ng_9cc84b63,2026-02-21T23:42:40,whatsapp_voice_note,ios,Enugu,mixed,Mo have problem pẹlu upload,0.728,8,document_upload_help,train
utt_ng_8065d8db,2026-03-04T03:15:40,mobile_app_voice,android,Kano,en,Book appointment for me o,0.819,12,appointment_booking,train
utt_ng_1e17b192,2026-02-18T15:34:40,mobile_app_voice,ios,Ibadan,en,Can't log in,0.767,12,reset_password_login_help,train
utt_ng_e5058b7e,2026-02-21T17:30:40,ivr,web,Delta,en,Can't log in,0.762,8,reset_password_login_help,train
utt_ng_770bafdd,2026-03-07T14:09:40,ivr,feature_phone,Abuja,yo,Bawo ni mo se le apply?,0.95,3,start_new_application,train
utt_ng_8c820bfe,2026-02-21T22:42:40,voice_call,feature_phone,Abuja,en,My payment is not going through,0.721,9,payment_help,train
utt_ng_7c965d9d,2026-03-13T13:33:40,voice_call,feature_phone,Lagos,mixed,"Ehen, Mo want to report",0.664,10,complaint_or_support_ticket,train
utt_ng_99c47332,2026-02-27T05:46:40,ivr,feature_phone,Rivers,mixed,Am I eligible?,0.767,3,service_eligibility,train
utt_ng_6fbba18e,2026-02-24T01:41:40,mobile_app_voice,android,Abuja,en,Help me with payment abeg,0.798,7,payment_help,train
utt_ng_3d888a0d,2026-02-28T12:11:40,mobile_app_voice,android,Kaduna,mixed,Mo fe report problem,0.848,10,complaint_or_support_ticket,train
utt_ng_30d31ea1,2026-02-14T04:40:40,mobile_app_voice,ios,Ibadan,en,I can't login,0.656,3,reset_password_login_help,train
utt_ng_414baaef,2026-03-03T16:15:40,voice_call,feature_phone,Rivers,mixed,Mo fe change date,0.719,9,cancel_or_reschedule_appointment,train
utt_ng_c9511737,2026-03-06T13:51:40,whatsapp_voice_note,web,Abuja,yo,Kini o nilo fun aplikasiyo?,0.829,8,requirements_information,train
utt_ng_b638d08f,2026-02-27T11:01:40,voice_call,ios,Oyo,mixed,Mo have problem pẹlu upload,0.866,5,document_upload_help,train
utt_ng_490e08af,2026-02-18T01:02:40,voice_call,ios,Kano,mixed,Mo fe cancel appointment mi,0.799,5,cancel_or_reschedule_appointment,train
utt_ng_d557cbc4,2026-03-12T00:25:40,mobile_app_voice,android,Enugu,mixed,Upload mi ko work,0.805,12,document_upload_help,train
utt_ng_79c4d8c1,2026-02-26T09:46:40,mobile_app_voice,web,Abuja,yo,Mo fe bẹrẹ aplikasiyo fun passport,0.95,5,start_new_application,train
utt_ng_98873b27,2026-03-08T09:51:40,mobile_app_voice,ios,Delta,mixed,Upload ko work please,0.661,10,document_upload_help,train
utt_ng_2aa0f033,2026-02-14T11:44:40,ivr,ios,Delta,yo,Mo fe bẹrẹ aplikasiyo fun ID card,0.716,3,start_new_application,train
utt_ng_2c3d690a,2026-02-15T08:20:40,whatsapp_voice_note,android,Abuja,mixed,Mo have problem pẹlu upload,0.707,8,document_upload_help,train
utt_ng_58926d69,2026-03-11T11:17:40,ivr,web,Enugu,mixed,Mo fe change appointment mi,0.845,4,cancel_or_reschedule_appointment,train
utt_ng_1131561a,2026-03-10T02:47:40,whatsapp_voice_note,web,Enugu,mixed,Mo fe cancel apoyntmẹnt mi,0.932,11,cancel_or_reschedule_appointment,train
utt_ng_037dd7ca,2026-02-15T12:23:40,ivr,ios,Kano,en,Can you help with payment? o,0.709,11,payment_help,train
utt_ng_c7b3ff94,2026-03-13T23:16:40,whatsapp_voice_note,web,Kano,mixed,Mo want to cancel,0.747,11,cancel_or_reschedule_appointment,train
utt_ng_be2147cc,2026-02-16T17:08:40,ivr,ios,Lagos,mixed,Mo fe help to upload,0.936,7,document_upload_help,train
utt_ng_0036e696,2026-02-21T12:14:40,ivr,web,Ibadan,en,"Ehen, I can't login",0.929,5,reset_password_login_help,train
utt_ng_6e9d9ec8,2026-03-12T21:44:40,ivr,ios,Oyo,yo,Se mo le bẹrẹ aplikasiyo tuntun?,0.935,5,start_new_application,train
utt_ng_5745306b,2026-02-17T03:58:40,voice_call,ios,Kano,yo,Mo fe apply fun passport,0.82,12,start_new_application,train
utt_ng_30d597af,2026-02-14T11:37:40,mobile_app_voice,android,Delta,en,I forgot my password,0.688,11,reset_password_login_help,train
utt_ng_8869c9d0,2026-02-13T02:09:40,voice_call,android,Lagos,en,What is the application fee?,0.932,9,fees_information,train
utt_ng_59d4a3ea,2026-02-25T20:50:40,ivr,ios,Rivers,mixed,Mo fe correct mistake mi,0.943,3,update_application_details,train
utt_ng_03f6e98f,2026-03-03T16:10:40,mobile_app_voice,web,Kaduna,mixed,Mo fe help to upload,0.905,4,document_upload_help,train
utt_ng_fff98cf2,2026-02-21T18:36:40,whatsapp_voice_note,ios,Rivers,mixed,Bawo ni mo se le upload document?,0.685,7,document_upload_help,train
utt_ng_2556bcbb,2026-03-10T13:50:40,mobile_app_voice,web,Kano,yo,Kini awọn nkan ti mo nilo fun passport?,0.738,6,requirements_information,train
utt_ng_a5761ecd,2026-03-12T13:44:40,whatsapp_voice_note,feature_phone,Ibadan,yo,Bawo ni awọn nkan ti mo nilo.,0.694,3,requirements_information,train
utt_ng_e721581c,2026-02-20T00:05:40,mobile_app_voice,feature_phone,Rivers,mixed,Mo want to correct,0.861,7,update_application_details,train
utt_ng_04cbe287,2026-02-15T08:46:40,whatsapp_voice_note,feature_phone,Kaduna,en,How can I book an appointment?,0.883,12,appointment_booking,train
utt_ng_3413e78a,2026-03-02T08:29:40,ivr,android,Ibadan,mixed,Mo fe make complaint,0.687,12,complaint_or_support_ticket,train
utt_ng_48da3245,2026-02-26T02:32:40,voice_call,android,Abuja,yo,Mo fe bẹrẹ aplikasiyo fun passport,0.841,9,start_new_application,train
utt_ng_5f72f115,2026-03-14T02:45:40,voice_call,android,Delta,en,I forgot password,0.938,7,reset_password_login_help,train
utt_ng_75b47af9,2026-02-15T01:56:40,mobile_app_voice,feature_phone,Ibadan,mixed,Se mo can get service?,0.837,4,service_eligibility,train
utt_ng_1ac38118,2026-03-12T21:29:40,voice_call,feature_phone,Oyo,mixed,Mo fe apply fun ID card,0.728,4,start_new_application,train
utt_ng_3bc8b0d9,2026-03-02T10:39:40,ivr,feature_phone,Port Harcourt,mixed,Mo need to complain,0.816,9,complaint_or_support_ticket,train
utt_ng_999acbf8,2026-03-03T02:10:40,voice_call,android,Ibadan,yo,Bawo ni mo se le wo ipo ti aplikasiyo mi?,0.888,9,check_application_status,train
utt_ng_1f6649ee,2026-03-01T10:09:40,mobile_app_voice,android,Rivers,mixed,Mo fe report problem,0.74,3,complaint_or_support_ticket,train
utt_ng_6ed1ebed,2026-03-10T05:46:40,whatsapp_voice_note,feature_phone,Kano,en,How much does it cost?,0.75,12,fees_information,train
utt_ng_fa15e1df,2026-03-07T17:41:40,whatsapp_voice_note,feature_phone,Ibadan,en,I'm having pay issues,0.949,7,payment_help,train
utt_ng_19c3da45,2026-02-18T12:55:40,voice_call,feature_phone,Ibadan,yo,Kini awọn nkan ti mo nilo fun passport?,0.718,8,requirements_information,train
utt_ng_db65825c,2026-02-19T08:40:40,whatsapp_voice_note,ios,Enugu,yo,Mo fe mọ awọn nkan ti mo nilo,0.706,9,requirements_information,train
utt_ng_d5cf51c4,2026-03-14T15:14:40,ivr,ios,Ibadan,mixed,Mo fe report problem,0.917,6,complaint_or_support_ticket,train
utt_ng_73b932b5,2026-03-01T10:30:40,whatsapp_voice_note,android,Lagos,mixed,Mo fe change information,0.692,6,update_application_details,train
utt_ng_6c499e2d,2026-02-27T11:20:40,mobile_app_voice,android,Ibadan,en,I forgot password,0.838,4,reset_password_login_help,train
utt_ng_6e1229b2,2026-02-17T16:53:40,whatsapp_voice_note,web,Kano,mixed,Mo fe update details mi,0.881,10,update_application_details,train
utt_ng_47902b70,2026-02-19T05:20:40,whatsapp_voice_note,ios,Abuja,en,Book me an apoyntment,0.887,4,appointment_booking,train
utt_ng_7c7effce,2026-02-24T00:52:40,voice_call,web,Kano,mixed,"Ehen, Bawo ni mo se le upload document?",0.753,7,document_upload_help,train
utt_ng_4fc0e075,2026-02-22T02:50:40,voice_call,feature_phone,Port Harcourt,mixed,Mo fe change date,0.916,3,cancel_or_reschedule_appointment,train
utt_ng_9ed02021,2026-02-14T11:06:40,voice_call,android,Rivers,en,WWhat'sthe price?,0.868,7,fees_information,train
utt_ng_e270c469,2026-03-04T10:48:40,ivr,ios,Abuja,en,I need payment assistance,0.863,4,payment_help,train
utt_ng_6c08fe9b,2026-03-04T05:24:40,whatsapp_voice_note,feature_phone,Lagos,en,How much do I need to pay?,0.924,6,fees_information,train
utt_ng_e0fc47f3,2026-03-06T08:59:40,whatsapp_voice_note,web,Delta,mixed,Mo fe report problem,0.707,12,complaint_or_support_ticket,train
utt_ng_d75db1de,2026-02-15T00:26:40,whatsapp_voice_note,feature_phone,Kano,en,I need to reset my password,0.772,3,reset_password_login_help,train
utt_ng_b9e7e7c6,2026-03-11T00:46:40,whatsapp_voice_note,feature_phone,Ibadan,mixed,Mo want to speak to agent,0.81,10,speak_to_agent,train
utt_ng_6593299c,2026-03-01T05:31:40,mobile_app_voice,ios,Kaduna,mixed,Mo need to reschedule,0.763,9,cancel_or_reschedule_appointment,train
utt_ng_9d3108d0,2026-02-19T08:43:40,mobile_app_voice,web,Enugu,en,My payment failed,0.929,9,payment_help,train
utt_ng_e79ddb57,2026-03-15T05:12:40,mobile_app_voice,feature_phone,Ibadan,mixed,Mo fe talk to customer service,0.732,6,speak_to_agent,train
utt_ng_277d39ff,2026-02-15T02:23:40,voice_call,web,Lagos,en,What's the price? please,0.81,4,fees_information,train
utt_ng_8de15827,2026-02-14T07:40:40,voice_call,feature_phone,Lagos,yo,Bawo ni awọn nkan ti mo nilo?,0.792,4,requirements_information,train
utt_ng_0068b03a,2026-02-15T14:10:40,ivr,ios,Port Harcourt,en,I need to make an appointment,0.796,5,appointment_booking,train
utt_ng_732da853,2026-02-26T10:33:40,voice_call,web,Delta,en,Tell me the cost,0.806,5,fees_information,train
utt_ng_546c8c8d,2026-03-05T16:31:40,mobile_app_voice,ios,Abuja,yo,Mo fe bẹrẹ aplikasiyo fun passport,0.895,8,start_new_application,train
utt_ng_133765af,2026-03-15T15:07:40,voice_call,web,Enugu,mixed,Am I eligible? help me,0.886,12,service_eligibility,train
utt_ng_86413c8b,2026-03-12T08:44:40,ivr,android,Abuja,en,How can I book an appointment?,0.857,9,appointment_booking,train
utt_ng_ddf2c8a1,2026-02-14T09:37:40,mobile_app_voice,web,Ibadan,en,Payment not working,0.86,4,payment_help,train
utt_ng_3d2c6edb,2026-02-25T22:16:40,whatsapp_voice_note,feature_phone,Lagos,mixed,Am I eligible?,0.793,10,service_eligibility,train
utt_ng_b8d833b9,2026-02-17T08:13:40,mobile_app_voice,web,Port Harcourt,mixed,Se mo eligible fun passport?,0.821,5,service_eligibility,train
utt_ng_fa85a244,2026-02-25T19:57:40,voice_call,feature_phone,Oyo,mixed,Mo need to complain,0.807,10,complaint_or_support_ticket,train
utt_ng_03703f46,2026-02-16T05:59:40,voice_call,web,Abuja,en,I need to set up an appointment,0.735,6,appointment_booking,train
utt_ng_a98b83d4,2026-03-13T23:26:40,voice_call,web,Ibadan,mixed,Mo fe report problem,0.656,9,complaint_or_support_ticket,train
utt_ng_aaa4971e,2026-03-05T13:50:40,ivr,ios,Rivers,mixed,Am I eligible?,0.842,7,service_eligibility,train
utt_ng_a2cd7c75,2026-03-13T14:48:40,ivr,ios,Lagos,en,My pass is not working,0.753,3,reset_password_login_help,train
utt_ng_ba99ba26,2026-02-20T20:58:40,voice_call,android,Ibadan,yo,Mo fe apply fun passport,0.723,5,start_new_application,train
utt_ng_4ddd2dc3,2026-03-07T13:18:40,whatsapp_voice_note,android,Kano,mixed,Upload mi ko work,0.862,4,document_upload_help,train
utt_ng_162b7e13,2026-03-01T08:50:40,voice_call,android,Rivers,mixed,"Ehen, Se mo can get service?",0.903,12,service_eligibility,train
utt_ng_6c7adc13,2026-02-14T07:07:40,mobile_app_voice,android,Delta,yo,Kini awọn dokumẹnti ti mo gbọdọ prepare?,0.919,7,requirements_information,train
utt_ng_f86c4d27,2026-02-26T10:44:40,whatsapp_voice_note,ios,Delta,mixed,Mo fe talk to customer service,0.677,4,speak_to_agent,train
utt_ng_c383cd24,2026-03-04T13:18:40,voice_call,web,Oyo,en,Can you help with payment?,0.755,7,payment_help,train
utt_ng_e713fbc9,2026-02-20T06:31:40,voice_call,android,Port Harcourt,en,I need appointment for driving license,0.792,7,appointment_booking,train
utt_ng_3a0685ad,2026-03-10T18:01:40,ivr,android,Delta,yo,Mo fe wo ipo ti mo submit,0.858,4,check_application_status,train
utt_ng_63d4cd9d,2026-03-13T17:16:40,voice_call,web,Abuja,yo,Mo fe mọ awọn requirements,0.651,10,requirements_information,train
utt_ng_ff8dbf68,2026-03-02T05:05:40,mobile_app_voice,android,Oyo,mixed,Mo want to report,0.656,10,complaint_or_support_ticket,train
utt_ng_c51eaed8,2026-02-18T01:31:40,whatsapp_voice_note,feature_phone,Port Harcourt,en,My payment failed,0.75,8,payment_help,train
utt_ng_cb4adb11,2026-03-01T17:23:40,whatsapp_voice_note,feature_phone,Port Harcourt,mixed,Mo need to talk to human,0.769,3,speak_to_agent,train
utt_ng_38230504,2026-02-18T00:09:40,ivr,feature_phone,Kano,en,What's the price?,0.765,12,fees_information,train
utt_ng_cafe0ab6,2026-02-13T14:01:40,whatsapp_voice_note,feature_phone,Kano,yo,Bawo ni awọn dokumẹnti ti mo nilo?,0.738,10,requirements_information,train
utt_ng_c8b9635f,2026-03-11T12:14:40,mobile_app_voice,web,Delta,yo,Mo fe start application tuntun,0.692,6,start_new_application,train
utt_ng_87ca69d4,2026-02-21T23:23:40,mobile_app_voice,ios,Lagos,mixed,Mo need to update,0.673,3,update_application_details,train
utt_ng_759b5a84,2026-03-12T15:39:40,mobile_app_voice,ios,Lagos,mixed,Mo fe speak to person,0.747,6,speak_to_agent,train
utt_ng_f288caae,2026-02-14T12:24:40,ivr,android,Enugu,mixed,Mo need to complain,0.693,10,complaint_or_support_ticket,train
utt_ng_fc633a2e,2026-02-22T09:44:40,voice_call,android,Lagos,mixed,Mo fe cancel appointment mi,0.9,5,cancel_or_reschedule_appointment,train
utt_ng_156e6be1,2026-03-01T11:16:40,mobile_app_voice,web,Port Harcourt,mixed,Am I eligible?,0.8,10,service_eligibility,train
utt_ng_9ea4ed8d,2026-02-20T16:03:40,whatsapp_voice_note,android,Kano,mixed,Se mo le apply?,0.687,6,service_eligibility,train
utt_ng_b5b18ec2,2026-03-13T18:07:40,voice_call,web,Kano,en,How much does it cost?,0.937,7,fees_information,train
utt_ng_f8a5f00f,2026-03-06T14:34:40,ivr,ios,Kaduna,yo,Mo fe apply fun passport,0.865,6,start_new_application,train
utt_ng_efe9a981,2026-02-18T02:07:40,voice_call,ios,Oyo,en,I want to schedule,0.685,3,appointment_booking,train
utt_ng_16819726,2026-02-16T12:25:40,whatsapp_voice_note,android,Port Harcourt,mixed,Mo have problem pẹlu upload,0.947,9,document_upload_help,train
utt_ng_9cac0bd7,2026-02-22T10:39:40,ivr,ios,Abuja,yo,Mo fe bẹrẹ aplikasiyo fun ID card,0.708,11,start_new_application,train
